PUX,PUEBLO,CO/Pueblo County,,CO-Pueblo County-KPUX
VAX,TALLAHASSEE,FL/(Moody AFB),,FL-(Moody AFB)-KVAX
BYX,MIAMI,FL/Boca Chica Key,,FL-Boca Chica Key-KBYX
EVX,TALLAHASSEE,FL/Eglin AFB RDA,,FL-Eglin AFB RDA-KEVX
JAX,JACKSONVILLE,FL/Jacksonville,,FL-Jacksonville-KJAX
MLB,MELBOURNE,FL/Melbourne,,FL-Melbourne-KMLB
AMX,MIAMI,FL/Miami,,FL-Miami-KAMX
TBW,TAMPA BAY AREA,FL/Ruskin,,FL-Ruskin-KTBW
TLH,TALLAHASSEE,FL/Tallahassee,,FL-Tallahassee-KTLH
FFC,ATLANTA,GA/Peachtree City,,GA-Peachtree City-KFFC
JGX,ATLANTA,GA/State Hwy 96 (Robins AFB),,GA-State Hwy 96 (Robins AFB)-KJGX
GUA,GUAM,GU/Barrigada Comm. Station,,GU-Barrigada Comm. Station-KGUA
HWA,HONOLULU,HI/Hawaii,,HI-Hawaii-KHWA
HKI,HONOLULU,HI/Kauai,,HI-Kauai-KHKI
HKM,HONOLULU,HI/Kohala,,HI-Kohala-KHKM
HMO,HONOLULU,HI/Molokai,,HI-Molokai-KHMO
DVN,QUAD CITIES,IA/Davenport,,IA-Davenport-KDVN
DMX,DES MOINES,IA/Johnston,,IA-Johnston-KDMX
CBX,BOISE,ID/Ada County,,ID-Ada County-KCBX
SFX,POCATELLO/IDAHO FALLS,ID/Springfield,,ID-Springfield-KSFX
ILX,CENTRAL ILLINOIS,IL/Lincoln,,IL-Lincoln-KILX
LOT,CHICAGO,IL/Romeoville,,IL-Romeoville-KLOT
VWX,"OWENSVILLE, IN",IN/EVANSVILLE,,IN-EVANSVILLE-KVWX
IND,INDIANAPOLIS,IN/Indianapolis,,IN-Indianapolis-KIND
IWX,NORTHERN INDIANA,IN/North Webster,,IN-North Webster-KIWX
DGX,"BRANDON, MS","JACKSON/BRANDON, MS",,"JA-KSON/BRANDON, MS-KDGX"
TWX,TOPEKA,KS/Alma,,KS-Alma-KTWX
DDC,DODGE CITY,KS/Dodge City,,KS-Dodge City-KDDC
GLD,GOODLAND,KS/Goodland,,KS-Goodland-KGLD
ICT,WICHITA,KS/Wichita,,KS-Wichita-KICT
HPX,PADUCAH,KY/(Fort Campbell),,KY-(Fort Campbell)-KHPX
LVX,LOUISVILLE,KY/Fort Knox,,KY-Fort Knox-KLVX
JKL,JACKSON,KY/Noctor,,KY-Noctor-KJKL
PAH,PADUCAH,KY/Paducah,,KY-Paducah-KPAH
POE,LAKE CHARLES,LA/Ft Polk Firing Pt 707,,LA-Ft Polk Firing Pt 707-KPOE
LGX,"LANGLEY HILL, WA",LANGLEY HILL (NW WASHINGTON),,LA-GLEY HILL (NW WASHINGTON)-KLGX
LCH,LAKE CHARLES,LA/Lake Charles,,LA-Lake Charles-KLCH
SHV,SHREVEPORT,LA/Shreveport,,LA-Shreveport-KSHV
LIX,NEW ORLEANS/BATON ROUGE,LA/Slidell,,LA-Slidell-KLIX
BOX,BOSTON,MA/Taunton,,MA-Taunton-KBOX
LWX,BALTIMORE,MD/ WASHINGTON DC/Sterling,,MD- WASHINGTON DC/Sterling-KLWX
GYX,PORTLAND,ME/Gray,,ME-Gray-KGYX
CBW,PORTLAND,ME/Houlton,,ME-Houlton-KCBW
APX,LOWER MICHIGAN,MI/Gaylord,,MI-Gaylord-KAPX
GRR,GRAND RAPIDS,MI/Grand Rapids,,MI-Grand Rapids-KGRR
MQT,MARQUETTE,MI/Marquette,,MI-Marquette-KMQT
DTX,DETROIT,MI/White Lake,,MI-White Lake-KDTX
MPX,MINNEAPOLIS,MN/Chanhassen,,MN-Chanhassen-KMPX
DLH,DULUTH,MN/Duluth,,MN-Duluth-KDLH
EAX,K.C./PLEASANT HILL,MO/Pleasant Hill,,MO-Pleasant Hill-KEAX
SGF,SPRINGFIELD,MO/Springfield,,MO-Springfield-KSGF
LSX,ST. LOUIS,MO/St Charles,,MO-St Charles-KLSX
GGW,GLASGOW,MT/Glasgow,,MT-Glasgow-KGGW
TFX,GREAT FALLS,MT/Great Falls,,MT-Great Falls-KTFX
